Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MSTTestOptionKeys.keys,MSTTestOptionKeys.corr,MSTTestOptionKeys.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,15133.2896,space,24.9458,space,4.751,space,7.0607,2,1,3.6851,0,0,0,3,1,Headphone/t2_2.wav,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.5604,0,1,1,4,1,Headphone/t3_1.wav,3,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.8619,0,2,2,1,1,Headphone/t1_2.wav,1,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8259,0,3,3,2,1,Headphone/t2_1.wav,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.5613,0,4,4,0,1,Headphone/t1_1.wav,1,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.7365,0,5,5,5,1,Headphone/t3_2.wav,3,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,space,18.2041,space,5.7465,1,space,2.172,2,1,5.4292,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.3687,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.3545,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.9341,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,1.8875,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SI_VAI_CHU.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,space,4.771,2,0,3.2016,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.2713,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.9158,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/PAI_LU_WA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.79,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.9552,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,2.6514,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GU_CHAI_PI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.2178,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.5859,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,1.2978,0,8,8,8,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,1.4194,0,9,9,9,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.4343,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_NA_VU.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.1172,0,11,11,11,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,2.568,0,12,12,12,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,1.0176,0,13,13,13,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.4117,0,14,14,14,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VU_NA_WAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.1508,0,15,15,15,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.9075,0,16,16,16,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.9921,0,17,17,17,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.9484,0,18,18,18,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.5195,0,19,19,19,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VU_WAI_NA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.8796,0,20,20,20,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.4363,0,21,21,21,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HI_NAY_VA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.784,0,22,22,22,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.6337,0,23,23,23,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.6841,0,24,24,24,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.6709,0,25,25,25,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NA_VU_WAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.9549,0,26,26,26,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_BA_LI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.8006,0,27,27,27,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.8428,0,28,28,28,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.5114,0,29,29,29,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.382,0,30,30,30,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NU_CHAY_SO.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.3345,0,31,31,31,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.7919,0,32,32,32,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/NA_WAI_VU.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.8854,0,33,33,33,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.986,0,34,34,34,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.4849,0,35,35,35,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LI_BA_KAY.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.8066,0,36,36,36,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.779,0,37,37,37,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.7446,0,38,38,38,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.6088,0,39,39,39,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.8177,0,40,40,40,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,1.2011,0,41,41,41,1,1,OLD,OLD,,,,,,,,
