Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueButton.keys,ContinueButton.rt,Condition,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,PauseCheckKey.keys,PauseCheckKey.rt,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
space,2.7119,space,2.0149,space,1.4298,space,19.1977,1,0,4.642,0,0,0,4,1,Headphone/t3_1.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,1.6725,0,1,1,0,1,Headphone/t1_1.wav,1,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,2.2454,0,2,2,1,1,Headphone/t1_2.wav,1,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.6076,0,3,3,2,1,Headphone/t2_1.wav,2,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.3215,0,4,4,5,1,Headphone/t3_2.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.2268,0,5,5,3,1,Headphone/t2_2.wav,2,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,space,2.2754,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.1202,0,0,0,5,1,Headphone/t3_2.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.0432,0,1,1,4,1,Headphone/t3_1.wav,3,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.1513,0,2,2,2,1,Headphone/t2_1.wav,2,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.2174,0,3,3,1,1,Headphone/t1_2.wav,1,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.2287,0,4,4,3,1,Headphone/t2_2.wav,2,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.1696,0,5,5,0,1,Headphone/t1_1.wav,1,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,space,9.3454,2,space,1.0092,0,0,0,0,1,1,pu,SL_Sounds/pu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,1,1,1,1,2,ni,SL_Sounds/ni.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,2,2,2,1,3,ru,SL_Sounds/ru.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,3,3,3,1,1,ti,SL_Sounds/ti.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,4,4,4,1,2,su,SL_Sounds/su.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,5,5,5,1,3,fe,SL_Sounds/fe.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,6,6,6,1,1,ge,SL_Sounds/ge.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,7,7,7,1,2,me,SL_Sounds/me.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,8,8,8,1,3,re,SL_Sounds/re.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,9,9,9,1,1,ti,SL_Sounds/ti.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,10,10,10,1,2,su,SL_Sounds/su.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,11,11,11,1,3,fe,SL_Sounds/fe.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,12,12,12,1,1,pu,SL_Sounds/pu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,13,13,13,1,2,ni,SL_Sounds/ni.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,14,14,14,1,3,ru,SL_Sounds/ru.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,15,15,15,1,1,ge,SL_Sounds/ge.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,16,16,16,1,2,me,SL_Sounds/me.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,17,17,17,1,3,re,SL_Sounds/re.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,18,18,18,1,1,pu,SL_Sounds/pu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,19,19,19,1,2,ni,SL_Sounds/ni.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,20,20,20,1,3,ru,SL_Sounds/ru.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,21,21,21,1,1,ti,SL_Sounds/ti.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,22,22,22,1,2,su,SL_Sounds/su.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,23,23,23,1,3,fe,SL_Sounds/fe.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,24,24,24,1,1,ge,SL_Sounds/ge.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,25,25,25,1,2,me,SL_Sounds/me.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,26,26,26,1,3,re,SL_Sounds/re.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,27,27,27,1,1,fu,SL_Sounds/fu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,28,28,28,1,2,ko,SL_Sounds/ko.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,29,29,29,1,3,ta,SL_Sounds/ta.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,30,30,30,1,1,ge,SL_Sounds/ge.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,31,31,31,1,2,me,SL_Sounds/me.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,32,32,32,1,3,re,SL_Sounds/re.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,33,33,33,1,1,pu,SL_Sounds/pu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,34,34,34,1,2,ni,SL_Sounds/ni.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,35,35,35,1,3,ru,SL_Sounds/ru.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,36,36,36,1,1,ti,SL_Sounds/ti.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,37,37,37,1,2,su,SL_Sounds/su.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,38,38,38,1,3,fe,SL_Sounds/fe.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,39,39,39,1,1,fu,SL_Sounds/fu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,40,40,40,1,2,ko,SL_Sounds/ko.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,41,41,41,1,3,ta,SL_Sounds/ta.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,42,42,42,1,1,pu,SL_Sounds/pu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,43,43,43,1,2,ni,SL_Sounds/ni.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,44,44,44,1,3,ru,SL_Sounds/ru.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,45,45,45,1,1,ge,SL_Sounds/ge.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,46,46,46,1,2,me,SL_Sounds/me.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,47,47,47,1,3,re,SL_Sounds/re.wav,,,,,,,
